nH	N	vr	sym
1	17	5000	True
0.155	1.000000	0.997381	0.990317	0.980818	0.971236	0.963377	0.958044	0.955152	0.954263	0.955152	0.958044	0.963377	0.971236	0.980818	0.990317	0.997381	1.000000
0.160	1.000000	0.997210	0.989685	0.979569	0.969371	0.961010	0.955338	0.952263	0.951318	0.952263	0.955338	0.961010	0.969371	0.979569	0.989685	0.997210	1.000000
0.165	1.000000	0.997033	0.989032	0.978283	0.967449	0.958573	0.952552	0.949289	0.948286	0.949289	0.952552	0.958573	0.967449	0.978283	0.989032	0.997033	1.000000
0.170	1.000000	0.996851	0.988361	0.976958	0.965472	0.956064	0.949686	0.946230	0.945168	0.946230	0.949686	0.956064	0.965472	0.976958	0.988361	0.996851	1.000000
0.175	1.000000	0.996663	0.987669	0.975594	0.963438	0.953486	0.946741	0.943087	0.941964	0.943087	0.946741	0.953486	0.963438	0.975594	0.987669	0.996663	1.000000
0.180	1.000000	0.996470	0.986957	0.974193	0.961349	0.950838	0.943717	0.939860	0.938676	0.939860	0.943717	0.950838	0.961349	0.974193	0.986957	0.996470	1.000000
0.185	1.000000	0.996271	0.986226	0.972754	0.959204	0.948121	0.940616	0.936551	0.935303	0.936551	0.940616	0.948121	0.959204	0.972754	0.986226	0.996271	1.000000
0.190	1.000000	0.996067	0.985476	0.971276	0.957003	0.945336	0.937436	0.933160	0.931847	0.933160	0.937436	0.945336	0.957003	0.971276	0.985476	0.996067	1.000000
0.195	1.000000	0.995858	0.984706	0.969761	0.954748	0.942482	0.934180	0.929688	0.928309	0.929688	0.934180	0.942482	0.954748	0.969761	0.984706	0.995858	1.000000
0.200	1.000000	0.995643	0.983916	0.968209	0.952438	0.939560	0.930848	0.926135	0.924688	0.926135	0.930848	0.939560	0.952438	0.968209	0.983916	0.995643	1.000000
0.205	1.000000	0.995423	0.983106	0.966619	0.950074	0.936571	0.927440	0.922502	0.920986	0.922502	0.927440	0.936571	0.950074	0.966619	0.983106	0.995423	1.000000
0.210	1.000000	0.995197	0.982278	0.964991	0.947656	0.933515	0.923958	0.918789	0.917203	0.918789	0.923958	0.933515	0.947656	0.964991	0.982278	0.995197	1.000000
0.215	1.000000	0.994966	0.981429	0.963327	0.945184	0.930393	0.920400	0.914999	0.913341	0.914999	0.920400	0.930393	0.945184	0.963327	0.981429	0.994966	1.000000
0.220	1.000000	0.994729	0.980562	0.961625	0.942658	0.927205	0.916769	0.911130	0.909400	0.911130	0.916769	0.927205	0.942658	0.961625	0.980562	0.994729	1.000000
